timestamp=1773211958580, cong_win=2754, send_adv_win=64158
timestamp=1773211958581, cong_win=2754, send_adv_win=64158
timestamp=1773211958581, cong_win=2754, send_adv_win=64158
timestamp=1773211958581, cong_win=2754, send_adv_win=64158
timestamp=1773211958581, cong_win=2754, send_adv_win=64158
timestamp=1773211958581, cong_win=2754, send_adv_win=64158
timestamp=1773211958581, cong_win=2754, send_adv_win=64158
timestamp=1773211958581, cong_win=2754, send_adv_win=64158
timestamp=1773211958582, cong_win=2754, send_adv_win=64158
timestamp=1773211958582, cong_win=2754, send_adv_win=64158
timestamp=1773211958582, cong_win=2754, send_adv_win=64158
timestamp=1773211958582, cong_win=2754, send_adv_win=64158
timestamp=1773211958582, cong_win=2754, send_adv_win=64158
timestamp=1773211958583, cong_win=2754, send_adv_win=64158
timestamp=1773211958583, cong_win=2754, send_adv_win=64158
timestamp=1773211958583, cong_win=2754, send_adv_win=64158
timestamp=1773211958583, cong_win=2754, send_adv_win=64158
timestamp=1773211958583, cong_win=2754, send_adv_win=64158
timestamp=1773211958583, cong_win=2754, send_adv_win=64158
timestamp=1773211958583, cong_win=2754, send_adv_win=64158
timestamp=1773211958584, cong_win=2754, send_adv_win=64158
timestamp=1773211958584, cong_win=2754, send_adv_win=64158
timestamp=1773211958584, cong_win=2754, send_adv_win=64158
timestamp=1773211958584, cong_win=2754, send_adv_win=64158
timestamp=1773211958584, cong_win=2754, send_adv_win=64158
timestamp=1773211958584, cong_win=2754, send_adv_win=64158
timestamp=1773211958584, cong_win=2754, send_adv_win=64158
timestamp=1773211958585, cong_win=2754, send_adv_win=64158
timestamp=1773211958585, cong_win=2754, send_adv_win=64158
timestamp=1773211958585, cong_win=2754, send_adv_win=64158
timestamp=1773211958585, cong_win=2754, send_adv_win=64158
timestamp=1773211958585, cong_win=2754, send_adv_win=64158
timestamp=1773211958585, cong_win=2754, send_adv_win=64158
timestamp=1773211958585, cong_win=2754, send_adv_win=64158
timestamp=1773211958586, cong_win=2754, send_adv_win=64158
timestamp=1773211958586, cong_win=2754, send_adv_win=64158
timestamp=1773211958586, cong_win=2754, send_adv_win=64158
timestamp=1773211958586, cong_win=2754, send_adv_win=64158
timestamp=1773211958586, cong_win=2754, send_adv_win=64158
timestamp=1773211958586, cong_win=2754, send_adv_win=64158
timestamp=1773211958587, cong_win=2754, send_adv_win=64158
timestamp=1773211958587, cong_win=2754, send_adv_win=64158
timestamp=1773211958587, cong_win=2754, send_adv_win=64158
timestamp=1773211958587, cong_win=2754, send_adv_win=64158
timestamp=1773211958587, cong_win=2754, send_adv_win=64158
timestamp=1773211958587, cong_win=2754, send_adv_win=64158
timestamp=1773211958587, cong_win=2754, send_adv_win=64158
timestamp=1773211958588, cong_win=2754, send_adv_win=64158
timestamp=1773211958588, cong_win=2754, send_adv_win=64158
timestamp=1773211958588, cong_win=2754, send_adv_win=64158
timestamp=1773211958588, cong_win=2754, send_adv_win=64158
timestamp=1773211958588, cong_win=2754, send_adv_win=64158
timestamp=1773211958588, cong_win=2754, send_adv_win=64158
timestamp=1773211958588, cong_win=2754, send_adv_win=64158
timestamp=1773211958589, cong_win=2754, send_adv_win=64158
timestamp=1773211958589, cong_win=2754, send_adv_win=64158
timestamp=1773211958589, cong_win=2754, send_adv_win=64158
timestamp=1773211958589, cong_win=2754, send_adv_win=64158
timestamp=1773211958589, cong_win=2754, send_adv_win=64158
timestamp=1773211958589, cong_win=2754, send_adv_win=64158
timestamp=1773211958589, cong_win=2754, send_adv_win=64158
timestamp=1773211958590, cong_win=2754, send_adv_win=64158
timestamp=1773211958590, cong_win=2754, send_adv_win=64158
timestamp=1773211958590, cong_win=2754, send_adv_win=64158
timestamp=1773211958590, cong_win=2754, send_adv_win=64158
timestamp=1773211958590, cong_win=2754, send_adv_win=64158
timestamp=1773211958590, cong_win=2754, send_adv_win=64158
timestamp=1773211958590, cong_win=2754, send_adv_win=64158
timestamp=1773211958591, cong_win=2754, send_adv_win=64158
timestamp=1773211958591, cong_win=2754, send_adv_win=64158
timestamp=1773211958591, cong_win=2754, send_adv_win=64158
timestamp=1773211958591, cong_win=2754, send_adv_win=64158
timestamp=1773211958591, cong_win=2754, send_adv_win=64158
timestamp=1773211958591, cong_win=2754, send_adv_win=64158
timestamp=1773211958592, cong_win=2754, send_adv_win=64158
timestamp=1773211958592, cong_win=2754, send_adv_win=64158
timestamp=1773211958592, cong_win=2754, send_adv_win=64158
timestamp=1773211958592, cong_win=2754, send_adv_win=64158
timestamp=1773211958592, cong_win=2754, send_adv_win=64158
timestamp=1773211958592, cong_win=2754, send_adv_win=64158
timestamp=1773211958593, cong_win=2754, send_adv_win=64158
timestamp=1773211958593, cong_win=2754, send_adv_win=64158
timestamp=1773211958593, cong_win=2754, send_adv_win=64158
timestamp=1773211958593, cong_win=2754, send_adv_win=64158
timestamp=1773211958593, cong_win=2754, send_adv_win=64158
timestamp=1773211958593, cong_win=2754, send_adv_win=64158
timestamp=1773211958593, cong_win=2754, send_adv_win=64158
timestamp=1773211958594, cong_win=2754, send_adv_win=64158
timestamp=1773211958594, cong_win=2754, send_adv_win=64158
timestamp=1773211958594, cong_win=2754, send_adv_win=64158
timestamp=1773211958594, cong_win=2754, send_adv_win=64158
timestamp=1773211958594, cong_win=2754, send_adv_win=64158
timestamp=1773211958594, cong_win=2754, send_adv_win=64158
timestamp=1773211958594, cong_win=2754, send_adv_win=64158
timestamp=1773211958595, cong_win=2754, send_adv_win=64158
timestamp=1773211958595, cong_win=2754, send_adv_win=64158
timestamp=1773211958595, cong_win=2754, send_adv_win=64158
timestamp=1773211958595, cong_win=2754, send_adv_win=64158
timestamp=1773211958595, cong_win=2754, send_adv_win=64158
timestamp=1773211958595, cong_win=2754, send_adv_win=64158
timestamp=1773211958595, cong_win=2754, send_adv_win=64158
timestamp=1773211958596, cong_win=2754, send_adv_win=64158
timestamp=1773211958596, cong_win=2754, send_adv_win=64158
timestamp=1773211958596, cong_win=2754, send_adv_win=64158
timestamp=1773211958596, cong_win=2754, send_adv_win=64158
timestamp=1773211958596, cong_win=2754, send_adv_win=64158
timestamp=1773211958596, cong_win=2754, send_adv_win=64158
timestamp=1773211958596, cong_win=2754, send_adv_win=64158
timestamp=1773211958597, cong_win=2754, send_adv_win=64158
timestamp=1773211958597, cong_win=2754, send_adv_win=64158
